Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting L1,None,0.9175787185111984,0.9174155145929339,0.8694550211019463,0.8683802946567523,0.9828535616360476,0.9834841193455246,0.9226731044917846,0.9223537750307154
BOW Bigram,Gradiente Boosting L1,None,0.9131858975751251,0.9131336405529954,0.8779998095281958,0.8769692223528386,0.9615226019954287,0.9622329162656401,0.9168052291554826,0.9165613681952223
BOW Trigram,Gradiente Boosting L1,None,0.9086264151478204,0.9079109062980031,0.8883271616480682,0.8863995784867542,0.9374513451484269,0.937786333012512,0.910476102201845,0.9097198524675788
TF-IDF Unigram,Gradiente Boosting L1,None,0.8857046456606226,0.8813172043010754,0.877116752629697,0.8715124018074507,0.897368479837098,0.8938209817131858,0.8870875310316025,0.8825249951516891
TF-IDF Bigram,Gradiente Boosting L1,None,0.8823924411609205,0.8775345622119815,0.8708599563699565,0.864747439830032,0.8981939859555853,0.8943599615014437,0.884282467133103,0.8792987556936129
TF-IDF Trigram,Gradiente Boosting L1,None,0.8785282059386074,0.874020737327189,0.8646338719057765,0.8588324468031496,0.8977934190534704,0.8944369586140519,0.8808825346222713,0.876272304249898
Word2Vec,Gradiente Boosting L1,None,0.9855990581437947,0.9838133640552995,0.9720436333722123,0.9685705869244433,1.0,1.0,0.9858211268285,0.9840332052144708
