Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.5379706422054289,0.5369239631336405,0.5711587065526802,0.5707234269829324,0.8088657977762221,0.8098556304138596,0.5836388525387752,0.5835127404981982
BOW Bigram,Decision Tree,None,0.5399143570159513,0.5399769585253456,0.7262919608648593,0.7149026605123856,0.29033157941829457,0.29393647738209816,0.29580942437783525,0.30033150323369684
BOW Trigram,Decision Tree,None,0.5283458971580179,0.5277457757296468,0.7938090978858188,0.7927016408183855,0.25499118830763584,0.2549374398460058,0.23698347078753107,0.23551360588586623
TF-IDF Unigram,Decision Tree,None,0.5946135819508632,0.5943164362519202,0.802006043848082,0.7997493420812964,0.37723269237448387,0.37724735322425407,0.4218651352819456,0.41919608655095447
TF-IDF Bigram,Decision Tree,None,0.5222732769128337,0.5241167434715822,0.7869809090189049,0.7806829713395491,0.23577980043222885,0.23688161693936474,0.2071890193347424,0.2089029491886012
TF-IDF Trigram,Decision Tree,None,0.5377543627909303,0.5385176651305684,0.824901174302649,0.8227394130072693,0.09811200300488405,0.0972473532242541,0.1742502093341429,0.17253105214132997
Word2Vec,Decision Tree,None,0.8584149808623165,0.8566820276497695,0.8188554520447511,0.8165332798655489,0.9206984643290298,0.9191915303176129,0.8667797171951328,0.8648208311051189
