Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression l1,None,0.8798243643619964,0.8786866359447003,0.8689637180273019,0.867548173372579,0.8948373953918939,0.8931280076997112,0.8816559376544257,0.8801483040737785
BOW Bigram,Logistic Regression l1,None,0.891345055626517,0.8901305683563748,0.8863906627196521,0.8852286383744742,0.8980451349248,0.8958614051973051,0.8921250211189523,0.8905130629507598
BOW Trigram,Logistic Regression l1,None,0.891753077708322,0.8901497695852534,0.8875338790948069,0.8853799801971654,0.8974627520080322,0.8957074109720885,0.8924193036028447,0.8905133684148326
TF-IDF Unigram,Logistic Regression l1,None,0.8739199092687663,0.8723886328725039,0.8607346696939449,0.8583308304434814,0.8924684055434321,0.8912415784408086,0.8762737710251132,0.8744759542888012
TF-IDF Bigram,Logistic Regression l1,None,0.8675835607596172,0.8649961597542243,0.854498229682412,0.8508160912478759,0.886314577629457,0.8843888354186719,0.8700704320784333,0.867277095129203
TF-IDF Trigram,Logistic Regression l1,None,0.8591110519120717,0.8568740399385562,0.84576785719815,0.8426906219337565,0.8786792170790477,0.8766891241578441,0.8618725583343536,0.8593533916747214
Word2Vec,Logistic Regression l1,None,0.7844181688534944,0.7831989247311829,0.8058323142056729,0.8041544750428606,0.7498747752779735,0.7472954764196342,0.7767747382942329,0.7746611153719332
