Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression,None,0.9781366822429906,0.9840399002493765,0.9637637903737207,0.9699073282839201,0.9936939009879644,0.999,0.9784697840491571,0.9842364113628482
BOW Bigram,Logistic Regression,None,0.9800116822429906,0.9835411471321696,0.9672220728098149,0.9689692859782122,0.9936939009879644,0.999,0.980242443894106,0.9837522729476753
BOW Trigram,Logistic Regression,None,0.9781366822429906,0.9840399002493765,0.9639060746923656,0.969916479916171,0.9936939009879644,0.999,0.9785104559576556,0.9842388021698367
TF-IDF Unigram,Logistic Regression,None,0.9787655763239875,0.9820448877805485,0.976376217045383,0.971620951155904,0.981011599348043,0.993,0.9786332726917601,0.9821903866703184
TF-IDF Bigram,Logistic Regression,None,0.9843866822429908,0.9845386533665836,0.9766279546515635,0.9717641487094483,0.9923425496366132,0.998,0.984396118030593,0.9847059539013563
TF-IDF Trigram,Logistic Regression,None,0.9243866822429908,0.9376558603491272,0.9832126348610553,0.9836952925370775,0.864258160080942,0.89,0.9186566692480692,0.933605361937946
Word2Vec,Logistic Regression,None,0.6770872274143303,0.686783042394015,0.7081267579124285,0.7122417502450064,0.6045202306698758,0.625,0.6516116079833296,0.6656227818505307
