Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting,None,0.9762616822429907,0.9845386533665834,0.9635365741820057,0.972705354318213,0.990101086616707,0.9970000000000001,0.9765907140517337,0.9846911532939646
BOW Bigram,Gradiente Boosting,None,0.9775116822429906,0.9870324189526185,0.9626097764107143,0.975585844093735,0.9936939009879644,0.999,0.9778369169427377,0.9871531597604204
BOW Trigram,Gradiente Boosting,None,0.9775116822429906,0.9870324189526185,0.9626097764107143,0.975585844093735,0.9936939009879644,0.999,0.9778369169427377,0.9871531597604204
TF-IDF Unigram,Gradiente Boosting,None,0.9787616822429905,0.9840399002493767,0.9636400529646444,0.9699029126213592,0.9950452523393158,0.999,0.9790372051756753,0.9842364532019705
TF-IDF Bigram,Gradiente Boosting,None,0.9750155763239876,0.9835411471321696,0.9568221727876048,0.9689830415854569,0.9950452523393158,0.999,0.975536406714235,0.9837570788213114
TF-IDF Trigram,Gradiente Boosting,None,0.9718925233644861,0.9825436408977557,0.9512003949924089,0.9671024955533187,0.9950452523393158,0.999,0.9725950469368035,0.982788831876053
Word2Vec,Gradiente Boosting,None,0.9843905763239874,0.9840399002493765,0.976359023035678,0.9708355325849587,0.9923425496366132,0.998,0.984248141567248,0.98422666882437
