Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression l1,None,0.9818827881619937,0.9870324189526185,0.969738410614708,0.9771191566917885,0.9950524909333842,0.9969543147208121,0.9821570386462805,0.9869346416431573
BOW Bigram,Logistic Regression l1,None,0.9831327881619938,0.9870324189526185,0.9708266356515998,0.9761927542213821,0.9962359228860469,0.9979695431472081,0.9833373752630485,0.9869547421456698
BOW Trigram,Logistic Regression l1,None,0.9825077881619938,0.9865336658354116,0.970799435869198,0.9761728537238696,0.9950524909333842,0.9969543147208121,0.9827405148179906,0.9864459007092684
TF-IDF Unigram,Logistic Regression l1,None,0.9587694704049843,0.976059850374065,0.956404774344828,0.9728514591620131,0.9607423159045545,0.9786802030456853,0.9584862716380311,0.9757287791494234
TF-IDF Bigram,Logistic Regression l1,None,0.9300525700934579,0.9566084788029924,0.9432535238451777,0.9659472478972371,0.9154119059805709,0.9451776649746193,0.9290235670975269,0.9553582957012672
TF-IDF Trigram,Logistic Regression l1,None,0.9175584112149533,0.9456359102244389,0.9453614986441968,0.966082124655715,0.8868315718830961,0.9218274111675127,0.9150351813739792,0.9433754497181723
Word2Vec,Logistic Regression l1,None,0.7108333333333333,0.7371571072319202,0.7783454717072203,0.7723406550206015,0.5946428645243268,0.6598984771573604,0.6731743854828475,0.7116221452784542
