Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree Regularizado,None,0.6002764797507789,0.6134663341645885,0.6551434155899585,0.6663293626136852,0.7665394414966407,0.76,0.6031509962619535,0.6035517213578048
BOW Bigram,Decision Tree Regularizado,None,0.5740147975077882,0.5536159600997507,0.5224289506670378,0.5142829342763207,0.6621951219512195,0.651,0.5143353416598375,0.49372924199234286
BOW Trigram,Decision Tree Regularizado,None,0.5571144859813084,0.5526184538653366,0.3341871015419839,0.33114074512381136,0.5728639361865316,0.5730000000000001,0.4215143613060629,0.4188758773191072
TF-IDF Unigram,Decision Tree Regularizado,None,0.6290401090342679,0.6059850374064839,0.6834054996856433,0.6644001839586408,0.7281171414793153,0.727,0.6002902036668729,0.5870517334263456
TF-IDF Bigram,Decision Tree Regularizado,None,0.5927492211838006,0.6049875311720698,0.7447845412587879,0.7505225988700566,0.5992509856925583,0.611,0.5046770735656827,0.5116601754502991
TF-IDF Trigram,Decision Tree Regularizado,None,0.5859151090342679,0.5920199501246883,0.6274801587301587,0.6240011930010605,0.4716144660588566,0.483,0.41434372213567033,0.42671731260961615
Word2Vec,Decision Tree Regularizado,None,0.8869626168224298,0.8867830423940151,0.9268430940311598,0.9287217425695307,0.839660265134013,0.8379999999999999,0.8806273512139056,0.8803488390118567
