Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression,None,0.9918832878315132,0.9897627965043695,0.9842611751329626,0.9793564801336659,1.0,1.0,0.9920645472445473,0.9895703399064312
BOW Bigram,Logistic Regression,None,0.9925073127925117,0.9895131086142321,0.9854413547317155,0.9788640937685912,1.0,1.0,0.9926651435936581,0.9893187968612084
BOW Trigram,Logistic Regression,None,0.9921953003120125,0.9887640449438202,0.9848426626436616,0.9773869346733669,1.0,1.0,0.9923616676266203,0.98856416772554
TF-IDF Unigram,Logistic Regression,None,0.9694144890795633,0.9762796504369537,0.9841073995498528,0.9835565369095536,0.9540970311262542,0.9676092544987147,0.9682855261261878,0.9751196779432088
TF-IDF Bigram,Logistic Regression,None,0.9491161271450859,0.9622971285892634,0.985321845839487,0.9907161752410847,0.9127001750959481,0.9311053984575836,0.9475535222582234,0.9599815608012765
TF-IDF Trigram,Logistic Regression,None,0.9484921021840874,0.9632958801498127,0.985306648271098,0.9928751823070261,0.9114140014625077,0.9311053984575836,0.9468367561516728,0.960997714950563
Word2Vec,Logistic Regression,None,0.7346207098283931,0.7233458177278402,0.8107174959636921,0.7748164773889011,0.6161423345676386,0.6066838046272494,0.7000077062998366,0.6805028184175363
