Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.7892604329173167,0.7740324594257179,0.7737921110565301,0.7427165511833704,0.8360365938815078,0.8416452442159382,0.7995715502681202,0.7837713011892935
BOW Bigram,Decision Tree,None,0.8420261310452419,0.8359550561797752,0.8292561462838608,0.8180739089618309,0.8744120843805661,0.8663239074550129,0.8487600571916865,0.8377402806718728
BOW Trigram,Decision Tree,None,0.7808390210608425,0.7885143570536829,0.780479045634498,0.7763415740324905,0.847609253982788,0.8586118251928021,0.7850020420175501,0.7896205421154369
TF-IDF Unigram,Decision Tree,None,0.8673113299531983,0.8554307116104869,0.8600241789851981,0.831424379092301,0.8872166968892741,0.8868894601542416,0.8710683333275206,0.8563182514542497
TF-IDF Bigram,Decision Tree,None,0.8139479329173167,0.813732833957553,0.8263201915613971,0.8104848184086443,0.8367055631253425,0.8447300771208226,0.8122227894640629,0.8095758213548343
TF-IDF Trigram,Decision Tree,None,0.8376160296411858,0.8259675405742822,0.8083912225289884,0.7897598283266076,0.925593905562849,0.9208226221079692,0.8565077506436838,0.8433054541792103
Word2Vec,Decision Tree,None,0.9584735764430578,0.9555555555555555,0.9556521288952071,0.9402075468437925,0.9622106373486108,0.9701799485861182,0.9588764982244035,0.954951125207324
