Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression,None,0.9921957878315132,0.9925093632958802,0.9859922940619569,0.9848101265822786,0.9987692307692309,1.0,0.9923380086131498,0.9923469387755102
BOW Bigram,Logistic Regression,None,0.99406883775351,0.9922596754057429,0.9896294501053511,0.9843177972619597,0.9987692307692309,1.0,0.994175120255805,0.992095403112315
BOW Trigram,Logistic Regression,None,0.99406883775351,0.9917602996254683,0.9896294501053511,0.9833205147925961,0.9987692307692309,1.0,0.994175120255805,0.9915891028300429
TF-IDF Unigram,Logistic Regression,None,0.9887621879875195,0.9905118601747814,0.9885562365818501,0.9867293678941106,0.9894530122996545,0.9938303341902314,0.9889726533449362,0.9902649269798177
TF-IDF Bigram,Logistic Regression,None,0.9943818252730109,0.9950062421972534,0.9903139305693285,0.9898218829516539,0.9987692307692309,1.0,0.9945178210835145,0.9948849104859334
TF-IDF Trigram,Logistic Regression,None,0.9921962753510141,0.9940074906367041,0.9872185791632614,0.9878171804039038,0.9974830571357902,1.0,0.9923169885830798,0.9938697218017642
Word2Vec,Logistic Regression,None,0.7337036856474259,0.7290886392009988,0.81478013976989,0.7854322497677654,0.6091689889442421,0.6077120822622109,0.6966637326108034,0.6847356730246118
