Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree Regularizado,None,0.6000741029641186,0.5990012484394507,0.8192126267841902,0.8057197449628013,0.5070144924299356,0.5197943444730078,0.480139594633355,0.4868298878669025
BOW Bigram,Decision Tree Regularizado,None,0.5688065522620904,0.5767790262172284,0.6368136260935056,0.6265330414266584,0.3559660224792583,0.36555269922879174,0.346550780251288,0.3550760877922935
BOW Trigram,Decision Tree Regularizado,None,0.5641522035881434,0.5593008739076155,0.5366080881859113,0.5198718612458736,0.5646998985370695,0.5634961439588689,0.45653865335717103,0.45261758202192864
TF-IDF Unigram,Decision Tree Regularizado,None,0.5517102184087364,0.56729088639201,0.5185365853658537,0.5181451612903226,0.2181661881139682,0.2133676092544987,0.24216454299594484,0.24081917723121765
TF-IDF Bigram,Decision Tree Regularizado,None,0.5435306162246489,0.5543071161048689,0.6161220882942194,0.6133174334513002,0.39918599691002876,0.4010282776349614,0.3427977605422011,0.3432818551263388
TF-IDF Trigram,Decision Tree Regularizado,None,0.5491765795631826,0.547565543071161,0.5296040217611145,0.5174475312914033,0.5853708110979475,0.5820051413881748,0.43307430092486426,0.4253283515758565
Word2Vec,Decision Tree Regularizado,None,0.8435852184087362,0.8499375780274656,0.8793956463366209,0.868309306849184,0.8028107595650391,0.8190231362467866,0.8374517748686608,0.8416815402945345
