Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting,None,0.9900102379095165,0.9895131086142321,0.9829705972402344,0.9803156163664546,0.9975741360089186,0.9984575835475578,0.9902118814579873,0.9893012855657066
BOW Bigram,Gradiente Boosting,None,0.9909477379095163,0.9895131086142323,0.9841991942335838,0.9798358941413555,0.9981538461538462,0.9989717223650386,0.9911240397353753,0.9893077536153884
BOW Trigram,Gradiente Boosting,None,0.9909477379095163,0.9897627965043696,0.9841991942335838,0.9803307673062539,0.9981538461538462,0.9989717223650386,0.9911240397353753,0.9895599375346118
TF-IDF Unigram,Gradiente Boosting,None,0.9915703003120125,0.9905118601747815,0.9836157799223837,0.9808386128285373,1.0,1.0,0.9917385787586556,0.9903262507901006
TF-IDF Bigram,Gradiente Boosting,None,0.9900092628705147,0.9902621722846442,0.9805850688273215,0.9803462264634625,1.0,1.0,0.9901963205127011,0.9900747077448779
TF-IDF Trigram,Gradiente Boosting,None,0.9896982254290172,0.9902621722846442,0.9800298789232494,0.9803462264634627,1.0,1.0,0.9899087685185097,0.9900747077448779
Word2Vec,Gradiente Boosting,None,0.9925073127925115,0.9935081148564293,0.986531581899586,0.9868097410524964,0.9987692307692309,1.0,0.9926079333913123,0.9933608309224073
