Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting L1,None,0.9975155279503106,1.0,0.996418118466899,1.0,0.9987341772151899,1.0,0.9975650195974699,1.0
BOW Bigram,Gradiente Boosting L1,None,0.998136645962733,1.0,0.996418118466899,1.0,1.0,1.0,0.9981999402323906,1.0
BOW Trigram,Gradiente Boosting L1,None,0.998136645962733,1.0,0.996418118466899,1.0,1.0,1.0,0.9981999402323906,1.0
TF-IDF Unigram,Gradiente Boosting L1,None,0.9931618970221165,1.0,0.9875808671106603,1.0,0.9987341772151899,1.0,0.9931121136255767,1.0
TF-IDF Bigram,Gradiente Boosting L1,None,0.9888140709351599,0.9930521091811414,0.9781301877594663,0.9862829408830567,1.0,1.0,0.9889314747893169,0.9930716058455318
TF-IDF Trigram,Gradiente Boosting L1,None,0.9888102010410014,0.987593052109181,0.9778686123652328,0.9756844628916992,1.0,1.0,0.9887975495377628,0.9876736436155117
Word2Vec,Gradiente Boosting L1,None,0.9844643099011241,0.9796526054590571,0.9701244522430622,0.9607061021558023,1.0,1.0,0.9848211758796841,0.9799361515622176
