Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression l1,None,0.9956502389659644,1.0,0.9937383996619665,1.0,0.9974683544303797,1.0,0.9955824096082221,1.0
BOW Bigram,Logistic Regression l1,None,0.9944060679940405,1.0,0.9899585300576984,1.0,0.9987341772151899,1.0,0.9943168121765815,1.0
BOW Trigram,Logistic Regression l1,None,0.9950271860064628,1.0,0.9911633493348069,1.0,0.9987341772151899,1.0,0.9949210417838323,1.0
TF-IDF Unigram,Logistic Regression l1,None,0.986325728991312,0.9915632754342433,0.9923203004724744,0.9930638413743594,0.9798331673861178,0.99,0.986031970947845,0.9915084855423218
TF-IDF Bigram,Logistic Regression l1,None,0.9788645730539269,0.9851116625310172,0.9898390566488725,0.9950738916256157,0.9670108600972644,0.975,0.9782017832619834,0.9848340065641791
TF-IDF Trigram,Logistic Regression l1,None,0.9732725759950466,0.9786600496277915,0.9836068656499879,0.9919690721649485,0.9622741286036582,0.9650000000000001,0.9727374760857783,0.978252063393653
Word2Vec,Logistic Regression l1,None,0.7582535167663165,0.7280397022332507,0.8598819512549489,0.7804172169898951,0.6184824955205949,0.628,0.719100925538152,0.6956324886183813
