Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.8620247286236721,0.8794044665012407,0.9530007210605136,0.9438860352030682,0.7634327014082164,0.8089999999999999,0.8445107970927539,0.8676762805587902
BOW Bigram,Decision Tree,None,0.9048992860045277,0.9325062034739453,0.9283147926214286,0.946929892159116,0.8868065544156251,0.921,0.9026971953601073,0.93124124717441
BOW Trigram,Decision Tree,None,0.8925020800681102,0.9126550868486352,0.9349262152026124,0.9408942621377854,0.8721645048638876,0.901,0.8925577088739024,0.9131180829045367
TF-IDF Unigram,Decision Tree,None,0.921692691704882,0.9354838709677418,0.9601601520244823,0.969222190898391,0.8816999021492796,0.9,0.9182587986673877,0.9319296812900809
TF-IDF Bigram,Decision Tree,None,0.9285443393123198,0.9518610421836229,0.9523084053329349,0.9648744843459959,0.9083135770816343,0.9390000000000001,0.9268692033975183,0.9502165846257947
TF-IDF Trigram,Decision Tree,None,0.9403455815483446,0.9578163771712159,0.9712366709488437,0.983273498037074,0.9091859486513515,0.931,0.9389065629717672,0.9562353575564566
Word2Vec,Decision Tree,None,0.9726533929297034,0.9672456575682382,0.9666902103329452,0.9477372738277946,0.9787380281383731,0.9889999999999999,0.9726572268487228,0.9677750724577324
