Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
BOW Bigram,Decision Tree Regularizado,None,0.5357613209953266,0.537557603686636,0.18702953097857558,0.18840579710144928,0.07764423076923077,0.07757459095283928,0.1097333106845592,0.10989910008181074
BOW Trigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF Unigram,Decision Tree Regularizado,None,0.526520951380542,0.528494623655914,0.17862165963431786,0.17931805477920626,0.06105769230769231,0.061751684311838306,0.09100680759584379,0.09186712485681557
TF-IDF Bigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF Trigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
Word2Vec,Decision Tree Regularizado,None,0.7382385444241581,0.7393433179723502,0.7363788932157898,0.7347556153812146,0.7686755046097673,0.775014436958614,0.7411220420704455,0.7432675565636939
