Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting,None,0.9162107242811077,0.9151881720430108,0.879197088043392,0.878368645505784,0.9666047011181107,0.9649663137632338,0.9199321105924703,0.9186360475607304
BOW Bigram,Gradiente Boosting,None,0.9148420387127534,0.9151881720430108,0.8783660943564909,0.8785816264768881,0.9650771065860766,0.9648893166506257,0.9185305608036967,0.9185831962757607
BOW Trigram,Gradiente Boosting,None,0.8987854338945521,0.8969278033794161,0.9175257800775682,0.9154826537845879,0.8765470010702924,0.8740327237728586,0.8965492119683217,0.8942722364578504
TF-IDF Unigram,Gradiente Boosting,None,0.8865927215101086,0.8833717357910906,0.8765267692539149,0.87252815093393,0.9003057065819251,0.8972473532242541,0.8881994487214214,0.8847135118177116
TF-IDF Bigram,Gradiente Boosting,None,0.8840965957409301,0.8797235023041475,0.8727975367749083,0.8668947628107377,0.8994844698136237,0.8965158806544755,0.8859121270103877,0.881449989566889
TF-IDF Trigram,Gradiente Boosting,None,0.8825365160549772,0.8779377880184331,0.869071939443508,0.8626530538428595,0.9010167765308296,0.8982868142444659,0.8847366808769076,0.8801075517196979
Word2Vec,Gradiente Boosting,None,0.986799140712628,0.9851382488479263,0.9743024612534865,0.9710662704249353,1.0,1.0,0.9869829698668383,0.9853202830750568
