Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression,None,0.9498128374486875,0.9493471582181259,0.9093122905610995,0.9085192226149594,0.999375460764262,0.9990375360923964,0.9522158679911549,0.9516304036295683
BOW Bigram,Logistic Regression,None,0.9575893126939672,0.9588325652841782,0.9218718384370463,0.9237588445841572,1.0,1.0,0.9593448487783757,0.9603670392113315
BOW Trigram,Logistic Regression,None,0.9587653741387294,0.959773425499232,0.9240547809307227,0.9255490319912785,0.9997619047619046,0.9997690086621752,0.9604172577504709,0.9612278401383827
TF-IDF Unigram,Logistic Regression,None,0.9116263450345983,0.9088133640552994,0.920537335446063,0.9154789960401072,0.9011788430847322,0.9002887391722811,0.9107340378758046,0.9078193099420971
TF-IDF Bigram,Logistic Regression,None,0.9234590199738569,0.9233294930875576,0.9366560288687922,0.9361867920882645,0.908481712841741,0.9081809432146294,0.9223388339209955,0.9219704170838746
TF-IDF Trigram,Logistic Regression,None,0.9250670814158539,0.9240015360983103,0.9379988587719919,0.9361363906169462,0.9104512916065997,0.9096823869104907,0.924000632440432,0.9227193525704317
Word2Vec,Logistic Regression,None,0.7473116937159483,0.7486559139784946,0.8342427436789961,0.831008648629636,0.6177643346914725,0.6227526467757458,0.7098089972147246,0.7119392349156051
