Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.8432009345794393,0.8643391521197008,0.8537711024127551,0.8596225234290301,0.8305717252196683,0.8690355329949238,0.8412018156673546,0.8634572809470207
BOW Bigram,Decision Tree,None,0.8188278816199377,0.8154613466334165,0.7583663119118036,0.7416980020256363,0.9391533341403739,0.9593908629441625,0.8381811173161575,0.8363959558728601
BOW Trigram,Decision Tree,None,0.8331989875389407,0.8438902743142144,0.8309195818886279,0.8146712478725491,0.8455575852184884,0.8862944162436548,0.833891971098345,0.8474070175428272
TF-IDF Unigram,Decision Tree,None,0.8513473520249221,0.8483790523690772,0.8389815819372248,0.8227166309642262,0.873685262122935,0.8883248730964468,0.8535584542581957,0.8513327451628842
TF-IDF Bigram,Decision Tree,None,0.837583722741433,0.8418952618453865,0.805585043697552,0.7960071399372075,0.8955666395318053,0.9197969543147207,0.8472757930532696,0.8521572649091116
TF-IDF Trigram,Decision Tree,None,0.8682223520249222,0.8628428927680798,0.8366452535626758,0.8166660387642415,0.9217824544260826,0.9329949238578681,0.8754359554092099,0.8697488568236782
Word2Vec,Decision Tree,None,0.9387811526479751,0.9481296758104738,0.9329471879744394,0.9309751854979919,0.9462462928377802,0.966497461928934,0.9390952827357577,0.9482057758931244
