Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression,None,0.8821044498044923,0.8798387096774194,0.8700650430243757,0.8667491730364489,0.8986650982947634,0.8969778633301251,0.8840848661176721,0.8816034114352933
BOW Bigram,Logistic Regression,None,0.8964333254079083,0.895468509984639,0.8945267078594448,0.8934805104841678,0.8990963234706317,0.8974013474494706,0.8967655266609895,0.895436454675082
BOW Trigram,Logistic Regression,None,0.9023136095871104,0.902457757296467,0.8929372056474456,0.8925179640009718,0.9155867080860162,0.9151491819056785,0.9033811401568022,0.9031560832208075
TF-IDF Unigram,Logistic Regression,None,0.878960208816418,0.8774769585253456,0.8686186912985944,0.865778797680498,0.8932323278326872,0.8927430221366699,0.8807167737415164,0.8790535382005176
TF-IDF Bigram,Logistic Regression,None,0.8883447714288792,0.8882488479262672,0.8810900866373143,0.880527159383926,0.898084543991023,0.8977478344562078,0.8894733916345144,0.8890539610104822
TF-IDF Trigram,Logistic Regression,None,0.8897128780014378,0.8893433179723502,0.882858900531652,0.8817044719319922,0.8989008337605519,0.8987102983638113,0.8907685108642187,0.8901260021932418
Word2Vec,Logistic Regression,None,0.7651929620151682,0.7661866359447005,0.7952219606731067,0.7950326666074573,0.7148152147097225,0.7157266602502406,0.7528343219851485,0.7532587329270105
