Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting,None,0.998136645962733,1.0,0.996418118466899,1.0,1.0,1.0,0.9981999402323906,1.0
BOW Bigram,Gradiente Boosting,None,0.9975135930032314,1.0,0.9962096242584048,1.0,0.9987341772151899,1.0,0.9974601193983539,1.0
BOW Trigram,Gradiente Boosting,None,0.9975135930032314,1.0,0.9962096242584048,1.0,0.9987341772151899,1.0,0.9974601193983539,1.0
TF-IDF Unigram,Gradiente Boosting,None,0.9950271860064628,0.9995037220843672,0.9912153794857185,0.9990049751243781,0.9987341772151899,1.0,0.9949510127216994,0.9995012468827931
TF-IDF Bigram,Gradiente Boosting,None,0.9900563069600047,0.9930521091811414,0.9804288047329985,0.986263671341697,1.0,1.0,0.9901017553171627,0.9930666983600205
TF-IDF Trigram,Gradiente Boosting,None,0.9900543720129253,0.991563275434243,0.980332459960691,0.9834412244863531,1.0,1.0,0.9900616293896475,0.9916120004255301
Word2Vec,Gradiente Boosting,None,0.9881929529227376,0.9836228287841191,0.9770137441281544,0.9680686791281978,1.0,1.0,0.9883403795037792,0.9837716328588539
