Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting L1,None,0.9921962753510141,0.9907615480649188,0.9871804780448807,0.9813334859934356,0.9974830571357902,1.0,0.9922997627681284,0.990578434709324
BOW Bigram,Gradiente Boosting L1,None,0.9906357254290171,0.9905118601747815,0.9843405535180041,0.9808386128285372,0.9974830571357902,1.0,0.9908508116437209,0.9903262507901006
BOW Trigram,Gradiente Boosting L1,None,0.9896992004680186,0.9902621722846442,0.9824702171155566,0.9803437396636389,0.9974830571357902,1.0,0.9899011738167232,0.9900740668708773
TF-IDF Unigram,Gradiente Boosting L1,None,0.9918842628705148,0.990761548064919,0.9866955063926666,0.9813334859934356,0.9974830571357902,1.0,0.9920485601657708,0.990578434709324
TF-IDF Bigram,Gradiente Boosting L1,None,0.9928203003120124,0.993258426966292,0.9883594424589195,0.9863123622006871,0.9974830571357902,1.0,0.9928960971344291,0.9931080036768594
TF-IDF Trigram,Gradiente Boosting L1,None,0.9931323127925117,0.9920099875156054,0.9889691640256961,0.9838279165837959,0.9974830571357902,1.0,0.9932014262139516,0.9918445033934169
Word2Vec,Gradiente Boosting L1,None,0.9915707878315132,0.9887640449438202,0.983783055978835,0.977428783389308,1.0,1.0,0.991810258063898,0.9885750066763006
