Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting,None,0.8530146035414148,0.853494623655914,0.9044447058249526,0.9011960269294642,0.7896838479571636,0.7932242540904716,0.8431529157269608,0.843765161822583
BOW Bigram,Gradiente Boosting,None,0.855438720669326,0.8550499231950844,0.9049451757937408,0.9005025218201024,0.7945668602849856,0.7974975938402309,0.8461565124738183,0.8458696252089357
BOW Trigram,Gradiente Boosting,None,0.8535426044982269,0.8540322580645162,0.9032697051299786,0.8996387261231291,0.7921263127814516,0.7961501443695861,0.8440367175182046,0.844736460871327
TF-IDF Unigram,Gradiente Boosting,None,0.8776641857801053,0.8770929339477727,0.8877691026587232,0.8856697252799803,0.8661486735960914,0.866371511068335,0.8760856566983592,0.875405948543359
TF-IDF Bigram,Gradiente Boosting,None,0.8727677450833031,0.8719278033794163,0.8909296742262323,0.888137871991459,0.8518114523872689,0.851934552454283,0.8698112714391415,0.8689142534005739
TF-IDF Trigram,Gradiente Boosting,None,0.8731999207956797,0.8712749615975423,0.8805583586631218,0.876604543374885,0.865038269659747,0.8645235803657363,0.8720027320372455,0.8700234057551013
Word2Vec,Gradiente Boosting,None,0.9412442930746515,0.9400729646697388,0.902962781245791,0.8996032070646056,0.9888743319867164,0.9903753609239654,0.9439543544106723,0.9428089877744228
