Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting L1,None,0.9725136292834892,0.9855361596009976,0.9588672608022865,0.9745905905618798,0.9873983839140044,0.9970000000000001,0.9728931126749787,0.985661820931299
BOW Bigram,Gradiente Boosting L1,None,0.9718886292834892,0.9855361596009976,0.9577588696694154,0.9745905905618798,0.9873983839140044,0.9970000000000001,0.9723103975082971,0.985661820931299
BOW Trigram,Gradiente Boosting L1,None,0.9718886292834892,0.9855361596009976,0.9577588696694154,0.9745905905618798,0.9873983839140044,0.9970000000000001,0.9723103975082971,0.985661820931299
TF-IDF Unigram,Gradiente Boosting L1,None,0.9750116822429906,0.9830423940149625,0.9569756283269063,0.9680268280099433,0.9950452523393158,0.999,0.9755631923467807,0.9832681763716247
TF-IDF Bigram,Gradiente Boosting L1,None,0.9718905763239875,0.9830423940149625,0.951205310540205,0.968044999279749,0.9950452523393158,0.999,0.972592786237058,0.9832729404061386
TF-IDF Trigram,Gradiente Boosting L1,None,0.9693925233644858,0.9820448877805488,0.9468077510801424,0.9661644532476107,0.9950452523393158,0.999,0.9702873719948727,0.9823046934608801
Word2Vec,Gradiente Boosting L1,None,0.9868886292834892,0.9865336658354116,0.9788352396584126,0.9755853306072118,0.9947815740268571,0.998,0.9867337336857165,0.9866592540975887
