Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression l1,None,0.9477726924727492,0.9457181259600613,0.9063637928441096,0.903248246893097,0.9988005986195901,0.9980750721847931,0.9503383048325874,0.9482965965829289
BOW Bigram,Logistic Regression l1,None,0.9539170966742654,0.9542434715821813,0.9165091416798592,0.9172034375123298,0.9988972161188103,0.9983830606352262,0.9559285710127062,0.9560729586605007
BOW Trigram,Logistic Regression l1,None,0.9540611053150719,0.954800307219662,0.9168234647780407,0.9182943503082284,0.9988020686402186,0.9981905678537055,0.9560560340380297,0.9565767267768204
TF-IDF Unigram,Logistic Regression l1,None,0.9067060157202256,0.9037826420890938,0.9105444639239944,0.9066590724811204,0.9021913638449541,0.899711260827719,0.9063296712674752,0.9031701257107217
TF-IDF Bigram,Logistic Regression l1,None,0.9009936547245854,0.8973310291858679,0.9051911396147976,0.9001420340548509,0.8959874048386407,0.8932435033686238,0.9005412910998378,0.8966767889933693
TF-IDF Trigram,Logistic Regression l1,None,0.89256906426041,0.8887096774193548,0.8973666569059731,0.8922066282563078,0.8867334035260518,0.8836188642925891,0.8919929489081792,0.8878912933578696
Word2Vec,Logistic Regression l1,None,0.7561682985802389,0.757315668202765,0.8390655680972359,0.8372421415698451,0.6343847385477221,0.6373435996150144,0.7225035896190314,0.7237228233375838
