Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree Regularizado,None,0.5321131750694896,0.5359831029185868,0.18733031674208145,0.18854625550660792,0.06899999999999999,0.07414821944177094,0.10085261875761267,0.10643824260845539
BOW Bigram,Decision Tree Regularizado,None,0.5336012345918705,0.5355030721966207,0.18663396689147763,0.18544061302681994,0.0738655666100461,0.07453320500481232,0.10584144645340751,0.10632980914458327
BOW Trigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF Unigram,Decision Tree Regularizado,None,0.5561621370279679,0.5584485407066053,0.33846528386405683,0.33871087771140074,0.14402238534336326,0.14487006737247352,0.1988673978140775,0.19966526019528077
TF-IDF Bigram,Decision Tree Regularizado,None,0.5313931462683376,0.5321620583717358,0.17747800586510262,0.17467532467532468,0.07274038461538461,0.07249278152069297,0.10318840579710145,0.10246225003400897
TF-IDF Trigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
Word2Vec,Decision Tree Regularizado,None,0.7146695555772303,0.7194508448540706,0.8132978559233512,0.8131972895258597,0.5777476991032261,0.5884504331087584,0.6661284625613437,0.6733434876605133
