Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression l1,None,0.8807363893211514,0.8796466973886329,0.8692278016192398,0.8679029454847221,0.8966043367838352,0.8948989412897017,0.8826583105610215,0.8811933037682206
BOW Bigram,Logistic Regression l1,None,0.8914170585066321,0.8900345622119815,0.88650886419351,0.8850603740335444,0.8980451349248,0.8958614051973051,0.8921879091572675,0.8904278766016098
BOW Trigram,Logistic Regression l1,None,0.8915850796297814,0.890168970814132,0.8872410824347545,0.8854134496263505,0.8974627520080322,0.8957074109720885,0.8922698683292001,0.8905303845548211
TF-IDF Unigram,Logistic Regression l1,None,0.8738959083087279,0.8723886328725039,0.8606925675530356,0.8583308304434814,0.8924684055434321,0.8912415784408086,0.8762527608271297,0.8744759542888012
TF-IDF Bigram,Logistic Regression l1,None,0.867631562679694,0.8649385560675883,0.8545769698553027,0.8507213599598987,0.886314577629457,0.8843888354186719,0.8701114893320898,0.867227931002633
TF-IDF Trigram,Logistic Regression l1,None,0.859183060553339,0.8568548387096774,0.8458863443570241,0.8426593378293974,0.8786792170790477,0.8766891241578441,0.861933386414434,0.8593371458383186
Word2Vec,Logistic Regression l1,None,0.7851622504650546,0.7830837173579109,0.8059410334036847,0.8036475964717047,0.7516645813362516,0.7477959576515881,0.7777992722312673,0.7747067622770785
