Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.7320054517133957,0.7316708229426434,0.6948566112636507,0.6848010431372061,0.8609580689948144,0.8779999999999999,0.7636326355213079,0.7670485656293975
BOW Bigram,Decision Tree,None,0.6745463395638629,0.6683291770573566,0.762393820694274,0.7529949073511032,0.7058373643098259,0.715,0.6520036812336082,0.6482696233235684
BOW Trigram,Decision Tree,None,0.7445132398753894,0.7351620947630922,0.7593173910076186,0.7477051055278416,0.7845947952834119,0.798,0.7347559693794348,0.7342581844823841
TF-IDF Unigram,Decision Tree,None,0.7526207165109033,0.7381546134663342,0.7719529300878306,0.7545413131012042,0.8084463144337679,0.817,0.746060846565294,0.7449642286346838
TF-IDF Bigram,Decision Tree,None,0.7163901869158878,0.714214463840399,0.6549507340743592,0.652625915565373,0.951811469698632,0.9450000000000001,0.7733553150517813,0.7691001495542272
TF-IDF Trigram,Decision Tree,None,0.6858566978193147,0.6738154613466334,0.7077222852700796,0.6975594601433835,0.8126431325646276,0.8030000000000002,0.6892202260712184,0.6697010564111954
Word2Vec,Decision Tree,None,0.9412928348909657,0.9366583541147133,0.925600944906711,0.9220717646735086,0.9602784220929103,0.954,0.9424506193021733,0.9376476989500768
