Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree Regularizado,None,0.6519823532826376,0.6694789081885856,0.9002036526080672,0.913154761904762,0.3800680943376403,0.4159203980099502,0.49268985537053495,0.5340969757851215
BOW Bigram,Decision Tree Regularizado,None,0.6780480253865058,0.688833746898263,0.9924420677361854,0.985791217895609,0.35883528580224533,0.38109452736318405,0.5217551524997266,0.5465721729788898
BOW Trigram,Decision Tree Regularizado,None,0.6711963777790677,0.6843672456575682,0.9202867383512544,0.9285263821736389,0.43005569089239887,0.43681592039801,0.5523976628304881,0.5710128469619992
TF-IDF Unigram,Decision Tree Regularizado,None,0.6488322594377044,0.658560794044665,0.9835546139359698,0.982197488584475,0.3029923046382339,0.3213930348258706,0.4614850376215215,0.4838137537780726
TF-IDF Bigram,Decision Tree Regularizado,None,0.6711905729378301,0.6982630272952852,0.9796610169491526,0.9953488372093023,0.35074326534350114,0.3970149253731343,0.5119040413518187,0.5647861733797518
TF-IDF Trigram,Decision Tree Regularizado,None,0.6973549273427371,0.6893300248138958,0.9344632768361582,0.9278538812785389,0.4700367030044575,0.4557213930348259,0.5928096263580119,0.5837019371166388
Word2Vec,Decision Tree Regularizado,None,0.9272904936049999,0.9151364764267991,0.9457892384814913,0.9256048475625238,0.9066881355369114,0.9024875621890546,0.9251813304927456,0.9136708182629937
