Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting L1,None,0.989073712948518,0.988514357053683,0.9817796009063338,0.978825850666469,0.9969471767612698,0.9979434447300772,0.9892983745117307,0.9882893010365532
BOW Bigram,Gradiente Boosting L1,None,0.9890746879875195,0.9892634207240949,0.9807606647862741,0.9793435077762809,0.9981538461538462,0.9989717223650386,0.9893636151855695,0.9890562105701655
BOW Trigram,Gradiente Boosting L1,None,0.9893867004680187,0.9890137328339575,0.9813066372502716,0.9788486346113825,0.9981538461538462,0.9989717223650386,0.9896448460802099,0.9888040266509421
TF-IDF Unigram,Gradiente Boosting L1,None,0.9896982254290172,0.9900124843945068,0.9829404400671728,0.9817925126770721,0.9969471767612698,0.9979434447300772,0.9898891984652259,0.989800453872111
TF-IDF Bigram,Gradiente Boosting L1,None,0.9872011505460219,0.9892634207240949,0.9775179922921085,0.979818334478284,0.9975741360089186,0.9984575835475578,0.9874375079014024,0.989049772288942
TF-IDF Trigram,Gradiente Boosting L1,None,0.9865766380655225,0.9890137328339575,0.9768629337743098,0.9798130980940302,0.9969471767612698,0.9979434447300772,0.9867946076104033,0.9887930297116769
Word2Vec,Gradiente Boosting L1,None,0.9921957878315132,0.99250936329588,0.9871324552939805,0.9848251990531596,0.9974830571357902,1.0,0.9922767598631335,0.9923508036756891
