Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression l1,None,0.9900107254290171,0.987765293383271,0.982499380594905,0.9763940777317142,0.9981538461538462,0.9989717223650386,0.9902515709348618,0.9875488743797188
BOW Bigram,Logistic Regression l1,None,0.9906352379095165,0.9882646691635456,0.9836735323730637,0.9773714646663875,0.9981538461538462,0.9989717223650386,0.9908428596090462,0.9880500475952958
BOW Trigram,Logistic Regression l1,None,0.9903227379095163,0.9890137328339575,0.9813344381955037,0.9778817891405222,1.0,1.0,0.9905721162530192,0.9888163492048877
TF-IDF Unigram,Logistic Regression l1,None,0.9822055382215289,0.9827715355805242,0.9750893230801422,0.9742444630041863,0.9901437289130406,0.990745501285347,0.9825188081323851,0.9824063462658243
TF-IDF Bigram,Logistic Regression l1,None,0.9288236154446178,0.9440699126092384,0.9834482955448227,0.989207255974707,0.873374488394337,0.8946015424164525,0.9249503053545588,0.9395155881172375
TF-IDF Trigram,Logistic Regression l1,None,0.9185218408736349,0.9315855181023721,0.9782313882871414,0.9832369169648822,0.8575394649296403,0.8740359897172236,0.9137842109247245,0.9254250652991916
Word2Vec,Logistic Regression l1,None,0.7502276716068643,0.7420724094881399,0.8347211083091561,0.8000441061375442,0.6291594451530542,0.625706940874036,0.7171447149223027,0.7021027805653093
