Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.7521294851794073,0.7393258426966293,0.7683186585231998,0.7515596626237286,0.790502693495544,0.7727506426735219,0.7520494800051524,0.7348493862982437
BOW Bigram,Decision Tree,None,0.6774507605304213,0.6754057428214731,0.8437028634016585,0.8327810978070229,0.602078873363338,0.6066838046272494,0.6149030438372515,0.6151127182693376
BOW Trigram,Decision Tree,None,0.6968759750390016,0.6941323345817728,0.8707816545510074,0.8581164552899129,0.5608912810888658,0.5455012853470438,0.6214213640683273,0.6038400579069936
TF-IDF Unigram,Decision Tree,None,0.7455465093603745,0.7186017478152309,0.6936356663360905,0.6606553487254938,0.9061052893634536,0.8982005141388175,0.7833831590144609,0.758125299925801
TF-IDF Bigram,Decision Tree,None,0.760833170826833,0.7662921348314606,0.8351486379282982,0.8199206806884736,0.7133797581429147,0.7223650385604113,0.7303200559569415,0.7359218880716004
TF-IDF Trigram,Decision Tree,None,0.7212217238689547,0.717852684144819,0.7980472816318656,0.7719169690021905,0.6970725794258998,0.708483290488432,0.6973249545494241,0.6945886453746266
Word2Vec,Decision Tree,None,0.9572269890795632,0.9595505617977528,0.9504053319952316,0.949278873010042,0.9649701071868506,0.9686375321336762,0.9575351695906825,0.9587777491066518
