Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Gradiente Boosting,None,0.9931323127925117,0.9902621722846442,0.9889806630059832,0.980343739663639,0.9974830571357902,1.0,0.9932073039347452,0.9900740668708773
BOW Bigram,Gradiente Boosting,None,0.9928198127925116,0.9905118601747815,0.9883557378772047,0.9808386128285373,0.9974830571357902,1.0,0.9928913577364462,0.9903262507901006
BOW Trigram,Gradiente Boosting,None,0.9921962753510141,0.9900124843945068,0.9872937289791563,0.9798488664987406,0.9974830571357902,1.0,0.9923480115244997,0.9898218829516539
TF-IDF Unigram,Gradiente Boosting,None,0.9915722503900156,0.990761548064919,0.9859971983026836,0.9813334859934356,0.9974830571357902,1.0,0.9916993818346546,0.990578434709324
TF-IDF Bigram,Gradiente Boosting,None,0.9931323127925118,0.9925093632958802,0.9889243217057471,0.9848151761137689,0.9974830571357902,1.0,0.993182208303131,0.9923482303578629
TF-IDF Trigram,Gradiente Boosting,None,0.9928198127925117,0.9930087390761548,0.9883033269236904,0.9858124585831327,0.9974830571357902,1.0,0.9928672635190894,0.9928545306401352
Word2Vec,Gradiente Boosting,None,0.9928193252730109,0.9892634207240949,0.9873168102190316,0.9783965578401108,0.9987692307692309,1.0,0.9929931371370353,0.9890736601908063
