Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
BOW Bigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
BOW Trigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF Unigram,Decision Tree Regularizado,None,0.5340092509125233,0.535541474654378,0.18915211970074813,0.18703703703703706,0.07362290706139286,0.07387872954764196,0.10599126637554586,0.10591969090658204
TF-IDF Bigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF Trigram,Decision Tree Regularizado,None,0.49968787805760906,0.5012480798771122,0.0,0.0,0.0,0.0,0.0,0.0
Word2Vec,Decision Tree Regularizado,None,0.7461114757600386,0.7422235023041475,0.7221774982335976,0.7163696877746549,0.8082999882339639,0.8097786333012513,0.7612388369225453,0.7582131272827596
