Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Logistic Regression l1,None,0.9475567039964364,0.9454301075268816,0.9060070580371054,0.902778141436994,0.9988005986195901,0.9980750721847931,0.950141499749719,0.948036933720753
BOW Bigram,Logistic Regression l1,None,0.9539171110771459,0.9541090629800306,0.9165086032592944,0.916976777597277,0.9988972161188103,0.9983830606352262,0.9559281797462369,0.9559497484940158
BOW Trigram,Logistic Regression l1,None,0.9543251273977986,0.9547235023041475,0.9172619647016587,0.9181646730307926,0.9988020686402186,0.9981905678537055,0.9562949149212923,0.9565063124729667
TF-IDF Unigram,Logistic Regression l1,None,0.9066820118796111,0.903763440860215,0.9105005395050794,0.9066238676060318,0.9021913638449541,0.899711260827719,0.9063079789244715,0.9031526888927734
TF-IDF Bigram,Logistic Regression l1,None,0.900969650883971,0.8973502304147466,0.9051474819668451,0.9001768510258945,0.8959874048386407,0.8932435033686238,0.9005197305033059,0.8966940984837027
TF-IDF Trigram,Logistic Regression l1,None,0.8926890690606021,0.8886520737327188,0.8975842915192345,0.8921025962719409,0.8867334035260518,0.8836188642925891,0.8921007726294198,0.8878397777107381
Word2Vec,Logistic Regression l1,None,0.7555682169677571,0.7565668202764978,0.841185597544035,0.8379480803884531,0.6305418245627645,0.6346487006737247,0.7207658823767077,0.722231319817169
