Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.5649987593358752,0.5644969278033795,0.6339752473276544,0.6247749524630406,0.7021627724253634,0.7066025024061597,0.5649154464684676,0.5663435349158736
BOW Bigram,Decision Tree,None,0.5492024318514748,0.5562019969278034,0.6854630564458922,0.6976087736414976,0.4875673375698539,0.4953224254090472,0.4253596307143578,0.4351893606697117
BOW Trigram,Decision Tree,None,0.5788914725095966,0.5786098310291858,0.8282022819767707,0.8124681692119731,0.36066105810288346,0.36250240615976903,0.3764287501375211,0.37525485775957207
TF-IDF Unigram,Decision Tree,None,0.5739512441755472,0.5783410138248848,0.8108436468524722,0.8080334803124767,0.34158620475655815,0.3458710298363811,0.36753466718759104,0.37183412690833195
TF-IDF Bigram,Decision Tree,None,0.5598831903348145,0.5611175115207374,0.869243907330917,0.8528276589801635,0.14023975305710518,0.14348411934552452,0.2276927869517788,0.23143757788751262
TF-IDF Trigram,Decision Tree,None,0.558084057399742,0.5621543778801843,0.8599682811497505,0.8627863665450353,0.13815922144188414,0.1448315688161694,0.22686733217790037,0.23501802147104964
Word2Vec,Decision Tree,None,0.8643673312943079,0.8594086021505376,0.8239064127174937,0.8186525591320246,0.9270896924158561,0.9224639076034649,0.8724400259380147,0.8674617090427258
