Vectorizer,Model,Scaler,Val Accuracy,Test Accuracy,Val Precision,Test Precision,Val Recall,Test Recall,Val F1 Score,Test F1 Score
BOW Unigram,Decision Tree,None,0.593100539191995,0.5958717357910907,0.6407049018208355,0.6427682619875635,0.7593343906919994,0.7633493743984601,0.6348135312188651,0.6383935566330604
BOW Bigram,Decision Tree,None,0.6070005834318827,0.6112519201228879,0.6968115704327686,0.6957095982957622,0.6835004956786623,0.6900096246390761,0.6176005350027062,0.625378336357871
BOW Trigram,Decision Tree,None,0.5832361532579402,0.5847926267281105,0.6691855429252613,0.668859894263724,0.7416001695079361,0.7437921077959577,0.6076806604043851,0.6088090190291473
TF-IDF Unigram,Decision Tree,None,0.6122796395293161,0.6173003072196621,0.6921019499529255,0.6938710600349942,0.5270743364015568,0.5354379210779596,0.5550728969564135,0.5623369123677601
TF-IDF Bigram,Decision Tree,None,0.5677071950856911,0.5679339477726575,0.7811029105262699,0.7728918671245436,0.32855756213009635,0.3260442733397497,0.3443818704262069,0.34007152072940683
TF-IDF Trigram,Decision Tree,None,0.5422665778450629,0.542953149001536,0.7251234630211679,0.7235308332388649,0.2930736396184223,0.29393647738209816,0.29689773158285365,0.2978383307421916
Word2Vec,Decision Tree,None,0.8331171912262952,0.8312596006144393,0.8177588572513862,0.8122562158733919,0.8577330170035069,0.860866217516843,0.8372360646827157,0.8357883416197274
